MillionReads,FGSS16threads,FGSS1thread,FGS1thread
1,0.13,2.89,8.84
2,0.26,5.73,17.6
4,0.53,11.48,35.08
8,1.10,22.84,70.16
16,2.18,45.91,140.3
32,4.34,92.54,280.38
64,8.75,184.9,560.98
128,17.29,414.01,1121.98
