MillionLines,FGS1thread,FGS+1thread,FGS+16threads
1,8.84,1.768016667,0.21
2,17.6,3.549333333,0.37
4,35.08,7.073216667,0.73
8,70.16,13.98161667,1.43
16,140.3,28.23123333,2.83
32,280.38,55.92076667,5.65
64,560.98,112.7106,11.32
128,1121.98,223.1062,22.75
